Name,Smiles,Active_Probability,Predicted_Class,InDomain
0.9991609,CCOc1cc(-c2cc(-c3cc(OC)c(O)c(OC)c3)nn2CCO)ccc1O,0.4781,Inactive,In-Domain
0.30179158,COc1c([O-])c(CC=C(C)C)cc2c1Oc1cc(O)c(CC=C(C)C)c(O)c1C(=O)O2,0.4777,Inactive,In-Domain
0.7615141,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc([O-])c(O)c1O,0.4771,Inactive,In-Domain
0.032053776,O=c1cc(-c2ccc(O)cc2)oc2c(C[NH+]3CCN(Cc4cccs4)CC3)c([O-])cc(O)c12,0.4757,Inactive,In-Domain
0.9558361,O=C1C[C@H](c2cccc3cccnc23)c2c(cc([O-])c3c(=O)cc(-c4ccc(O)cc4)oc23)O1,0.4752,Inactive,In-Domain
0.81019264,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)c(O)c1,0.4697,Inactive,In-Domain
0.011012511,CC(C)=CCc1c([O-])cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,0.4663,Inactive,In-Domain
0.95356506,Oc1ccc(/C=C/c2cc(O)cc(F)c2)cc1,0.4654,Inactive,In-Domain
0.90036416,Oc1ccc(Cc2ccc(O)c3ncccc23)c2cccnc12,0.4631,Inactive,In-Domain
0.9316419,COc1ccc(C(=O)N[C@@H]2CO[C@H]3[C@@H]2OC[C@H]3O)cc1Oc1ccc(C[NH3+])cc1F,0.4564,Inactive,Out-of-Domain
0.99923956,O/N=C/c1cc[n+](CCCC[n+]2ccc(/C=N/O)cc2)cc1,0.4548,Inactive,Out-of-Domain
0.33119264,O/N=C/c1cc[n+](CCCC[n+]2ccc(/C=N/O)cc2)cc1,0.4548,Inactive,Out-of-Domain
0.48083207,Cc1nn(CCO)cc1C[N@H+]1CC[C@]2(CC1)OCCc1cc(-c3ccc(O)cc3)sc12,0.4494,Inactive,Out-of-Domain
0.9724797,Cc1cc(OC(=O)c2c(C)cc(O)cc2O)cc([O-])c1C(=O)Oc1cc(C)c(C(=O)[O-])c(O)c1,0.4489,Inactive,In-Domain
0.27534145,COC(=O)c1c(C)c2c(c(C)c1[O-])OC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O2,0.448,Inactive,Out-of-Domain
0.98783106,COc1c(C)c(O)c2c(c1C)O[C@@H](c1ccc(O)cc1)CC2=O,0.4422,Inactive,In-Domain
0.98736936,CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,0.4418,Inactive,In-Domain
0.55035836,COc1ccc(C(=O)N[C@@H]2CO[C@H]3[C@@H]2OC[C@H]3O)cc1Oc1ccc(C[NH3+])cc1F,0.441,Inactive,Out-of-Domain
0.6719435,Cc1nc2c(C(=O)Nc3ccc(N4CCC[C@@H](O)C4)cc3)snc2c(=O)[nH]1,0.4407,Inactive,In-Domain
0.8119844,COc1cc(-c2cc(-c3cc(OC)c(O)c(OC)c3)nn2CCO)ccc1O,0.439,Inactive,In-Domain
0.34524038,O=C(Nc1cccc(O)c1)c1cc(-c2ccc(O)cc2)on1,0.4316,Inactive,In-Domain
0.46300766,CC(=O)CC(=O)C[C@]1(O)Cc2c(c([O-])c3c(O)cc(O)cc3c2CC=C(C)C)C(=O)[C@H]1O,0.4298,Inactive,In-Domain
0.9956124,CC(C)=CCc1cc([C@H]2CC(=O)c3c(O)cc([O-])cc3O2)cc(CC=C(C)C)c1O,0.4265,Inactive,In-Domain
0.9939599,CC(C)=CCC[C@]1(C)C=Cc2c(cc3c(c2O)C(=O)C[C@H](c2ccc(O)cc2O)O3)O1,0.4256,Inactive,In-Domain
0.90915316,O=Cc1ccc(-c2cc(-c3ccc(C=O)c([O-])c3)cc(-c3ccc(C=O)c(O)c3)c2)cc1[O-],0.4234,Inactive,In-Domain
0.5960789,O=C(Nc1ccc(O)cc1C(=O)[O-])c1cccc(C(=O)Nc2ccc(O)cc2C(=O)[O-])c1,0.4217,Inactive,In-Domain
0.8813297,Cc1cc(C[N@@H+]2CCC[C@@H](c3cc(=O)nc(N4CCOCC4)[nH]3)C2)cc(C)c1O,0.4214,Inactive,Out-of-Domain
0.98054415,Cc1cc(C[N@@H+]2CCC[C@H](c3cc(=O)nc(N4CCOCC4)[nH]3)C2)cc(C)c1O,0.4214,Inactive,Out-of-Domain
0.052858014,COc1cc(-c2[nH]c(-c3cn(CC(=O)[O-])c4ccccc34)nc2-c2oc(C)cc(=O)c2[O-])ccc1O,0.42,Inactive,Out-of-Domain
0.9742166,COc1cc(-c2cc(=O)c3c(O)c(CC=C(C)C)c(O)cc3o2)ccc1O,0.4193,Inactive,In-Domain
0.9984939,C/C=C(/C)c1c(Cl)c(O)c(C)c2c1Oc1c(Cl)c([O-])c(Cl)c(C)c1C(=O)O2,0.4183,Inactive,Out-of-Domain
0.9655358,COc1cc(O)cc2c1-c1c(O)cc(O)cc1C2=O,0.418,Inactive,In-Domain
0.9993679,C[C@@H](O)c1nc2cc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)ccc2[nH]1,0.418,Inactive,Out-of-Domain
0.97854745,COc1c(-c2ccc(O)c(O)c2)oc2c(C/C=C(/C)CCC=C(C)C)c(O)cc(O)c2c1=O,0.4169,Inactive,In-Domain
0.30470368,Cn1c(CO)nnc1[C@H]1C[C@H](NC(=O)c2ccc3[nH]c(CO)nc3c2)C1,0.4164,Inactive,In-Domain
0.9672501,CC(=O)CC(=O)C[C@]1(O)Cc2c(c([O-])c3c(O)cc(O)cc3c2CC=C(C)C)C(=O)[C@H]1O,0.4163,Inactive,In-Domain
